run_id,model,kol,input_tokens,output_tokens,ttft_any_p50_ms,total_p50_ms,total_p95_ms,temperature,n_ornek,n_ttft_olculen,out_tok_min,out_tok_max,tahmini_out_token_sayisi,max_tokens_kesilen
20260909-103150,qwen/qwen3.5-9b,A_prefill,55.2,64.0,71.37,609.18,619.07,0.00,5,5,64,64,0,5
20260909-103150,qwen/qwen3.5-9b,A_prefill,95.2,64.0,80.32,608.31,635.11,0.00,5,5,64,64,0,5
20260909-103150,qwen/qwen3.5-9b,A_prefill,260.8,64.0,101.70,634.77,643.55,0.00,5,5,64,64,0,5
20260909-103150,qwen/qwen3.5-9b,A_prefill,874.4,64.0,228.91,776.30,791.45,0.00,5,5,64,64,0,5
20260909-103150,qwen/qwen3.5-9b,A_prefill,2510.0,64.0,541.77,1104.27,1115.33,0.00,5,5,64,64,0,5
20260909-103150,qwen/qwen3.5-9b,B_decode,51.6,32.0,67.62,337.22,369.35,0.70,5,5,32,32,0,5
20260909-103150,qwen/qwen3.5-9b,B_decode,52.4,64.0,70.22,600.81,614.88,0.70,5,5,64,64,0,5
20260909-103150,qwen/qwen3.5-9b,B_decode,52.8,128.0,73.55,1141.67,1147.42,0.70,5,5,128,128,0,5
20260909-103150,qwen/qwen3.5-9b,B_decode,50.2,256.0,70.76,2211.01,2223.18,0.70,5,5,256,256,0,5
20260909-103150,qwen/qwen3.5-9b,B_decode,51.6,512.0,66.89,4365.53,4371.77,0.70,5,5,512,512,0,5
