run_id,model,mod,tur,prompt_tokens,kumulatif_prompt_tokens,completion_tokens,ttft_any_ms,total_ms,kumulatif_toplam_tokens,asistan_cevap_karakter,reasoning_karakter,finish_reason
20260909-103150,qwen/qwen3.5-9b,cache_dostu,1,4143,4143,150,851.18,2113.13,4293,0,617,length
20260909-103150,qwen/qwen3.5-9b,cache_dostu,2,4173,8316,150,84.69,1342.93,8616,0,537,length
20260909-103150,qwen/qwen3.5-9b,cache_dostu,3,4200,12516,150,81.85,1345.04,12966,0,536,length
20260909-103150,qwen/qwen3.5-9b,cache_dostu,4,4225,16741,150,82.09,1351.49,17341,0,675,length
20260909-103150,qwen/qwen3.5-9b,cache_dostu,5,4251,20992,150,85.21,1356.72,21742,0,577,length
20260909-103150,qwen/qwen3.5-9b,cache_dusmani,1,4174,4174,150,885.29,2149.16,4324,0,598,length
20260909-103150,qwen/qwen3.5-9b,cache_dusmani,2,4205,8379,150,893.42,2158.08,8679,0,518,length
20260909-103150,qwen/qwen3.5-9b,cache_dusmani,3,4232,12611,150,909.41,2173.68,13061,0,625,length
20260909-103150,qwen/qwen3.5-9b,cache_dusmani,4,4256,16867,150,924.38,2211.47,17467,0,518,length
20260909-103150,qwen/qwen3.5-9b,cache_dusmani,5,4281,21148,150,907.13,2173.54,21898,0,584,length
