run_id,model,soru_no,dusunme,prompt_tokens,completion_tokens,reasoning_tokens,total_ms,cevap_karakter,degerlendirme,reasoning_karakter,finish_reason,max_tokens_kesilen,dusunme_kapatilabildi
20260909-103150,qwen/qwen3.5-9b,1,acik,22,2186,1163,19205,3179,,4700,stop,0,0
20260909-103150,qwen/qwen3.5-9b,1,kapali,22,2186,1163,18247,3179,,4700,stop,0,0
20260909-103150,qwen/qwen3.5-9b,2,acik,29,3000,3000,25068,0,,10827,length,1,0
20260909-103150,qwen/qwen3.5-9b,2,kapali,29,3000,3000,25169,0,,10827,length,1,0
20260909-103150,qwen/qwen3.5-9b,3,acik,26,2841,1958,23816,2848,,8384,stop,0,0
20260909-103150,qwen/qwen3.5-9b,3,kapali,26,2841,1958,23811,2848,,8384,stop,0,0
20260909-103150,qwen/qwen3.5-9b,4,acik,23,2084,1777,17434,1028,,7271,stop,0,0
20260909-103150,qwen/qwen3.5-9b,4,kapali,23,2084,1777,17452,1028,,7271,stop,0,0
20260909-103150,qwen/qwen3.5-9b,5,acik,29,3000,1716,25426,4024,,7093,length,1,0
20260909-103150,qwen/qwen3.5-9b,5,kapali,29,3000,1716,25432,4024,,7093,length,1,0
20260909-103150,qwen/qwen3.5-9b,6,acik,27,1823,1263,15559,1756,,4643,stop,0,0
20260909-103150,qwen/qwen3.5-9b,6,kapali,27,1823,1263,15472,1756,,4643,stop,0,0
20260909-103150,qwen/qwen3.5-9b,7,acik,80,1069,1030,9006,52,,3481,stop,0,0
20260909-103150,qwen/qwen3.5-9b,7,kapali,80,1069,1030,9030,52,,3481,stop,0,0
20260909-103150,qwen/qwen3.5-9b,8,acik,34,1194,1163,10108,100,,4392,stop,0,0
20260909-103150,qwen/qwen3.5-9b,8,kapali,34,1194,1163,10079,100,,4392,stop,0,0
20260909-112210,qwen/qwen3.5-9b,1,acik,22,2186,1163,18453,3179,,4700,stop,0,0
20260909-112210,qwen/qwen3.5-9b,2,acik,29,3000,3000,25313,0,,10827,length,1,0
20260909-112210,qwen/qwen3.5-9b,3,acik,26,2841,1958,24002,2848,,8384,stop,0,0
20260909-112210,qwen/qwen3.5-9b,4,acik,23,2084,1777,17561,1028,,7271,stop,0,0
20260909-112210,qwen/qwen3.5-9b,5,acik,29,3000,1716,25676,4024,,7093,length,1,0
20260909-112210,qwen/qwen3.5-9b,6,acik,27,1823,1263,15584,1756,,4643,stop,0,0
20260909-112210,qwen/qwen3.5-9b,7,acik,80,1069,1030,9043,52,,3481,stop,0,0
20260909-112210,qwen/qwen3.5-9b,8,acik,34,1194,1163,10084,100,,4392,stop,0,0
